id,Name,processed_text,cluster_k10,cluster_k25,cluster_k50
768,Коробка розподільна з кришкою для суцільних стін KOPOS KO 100 E_KA,коробка розподільна з кришкою для суцільних стін kopos ko 100 e_ka,4,9,21
769,Коробка розподільна Kopos D103*50 KO 97/5,коробка розподільна kopos d103 50 ko 97 5,4,9,21
770,Коробка розподільна з кришкою для суцільних стін KOPOS KO 100_KA 107*107*50,коробка розподільна з кришкою для суцільних стін kopos ko 100_ka 107 107 50,4,9,21
771,Ввод-сальник УЕК IP54 сірий d=20 (D боксу 22) YSA40-20-22-68-K41,ввод сальник уек ip54 сірий d 20 d боксу 22 ysa40 20 22 68 k41,4,9,21
772,Наконечник пайка Аско мідний луджений 4/5 SC-4-5 A0060050003,наконечник пайка аско мідний луджений 4 5 sc 4 5 a0060050003,1,2,3
773,Наконечник пайка Аско мідний луджений 10/ 6 SC-10-6 A0060050028,наконечник пайка аско мідний луджений 10 6 sc 10 6 a0060050028,1,2,3
774,Скоба монтажна металева СКаТ СММ-12 1210124,скоба монтажна металева скат смм 12 1210124,3,7,17
775,Вимикач автоматичний 1-п Siemens 5SL6132-7 C 32A,вимикач автоматичний 1 п siemens 5sl6132 7 c 32a,1,1,2
776,Вимикач автоматичний 1-п Siemens 5SL6120-7 C 20A,вимикач автоматичний 1 п siemens 5sl6120 7 c 20a,1,1,2
777,Корпус щита пластиковий зовнішній IP65 ETI ECH 4G 1101060 прозора вертикальна дверка,корпус щита пластиковий зовнішній ip65 eti ech 4g 1101060 прозора вертикальна дверка,4,9,21
778,Шина DIN оцинкована УЕК L-30 см YDN10-0030-U,шина din оцинкована уек l 30 см ydn10 0030 u,2,3,6
779,"Шина ""N""основа-DIN E.Next s055003 e.bsc.stand.20.8 (8 відгалужень*20А)",шина n основа din e next s055003 e bsc stand 20 8 8 відгалужень 20а,3,6,16
780,"Шина ""N"" E.Next s025001 e.bs.stand.1.7 (7 відгалужень)",шина n e next s025001 e bs stand 1 7 7 відгалужень,3,6,16
781,АВВГ кабель вітчизняний 4* 6,аввг кабель вітчизняний 4 6,1,2,3
782,Лампа люмінесцентна Philips G13 18W/33 TLD Standart,лампа люмінесцентна philips g13 18w 33 tld standart,10,22,44
783,"Затискач проколюючий вітчизняний ЗПАм (магiстраль 10-95 / вiдгалудження 1,5-10)",затискач проколюючий вітчизняний зпам магiстраль 10 95 вiдгалудження 1 5 10,1,2,3
784,Запобіжник ПН-2 250А,запобіжник пн 2 250а,2,3,8
785,Вимикач автоматичний 1-полюсний Hager 6kA MC106A C 6A,вимикач автоматичний 1 полюсний hager 6ka mc106a c 6a,1,1,2
786,Вимикач автоматичний 1-полюсний Hager 6kA MC110A C 10A,вимикач автоматичний 1 полюсний hager 6ka mc110a c 10a,1,1,2
787,Вимикач автоматичний 2-полюсний Hager 6kA MC210A C 10A,вимикач автоматичний 2 полюсний hager 6ka mc210a c 10a,1,1,2
788,Вимикач автоматичний 2-полюсний Hager 6kA MC225A C 25A,вимикач автоматичний 2 полюсний hager 6ka mc225a c 25a,1,1,2
789,Вимикач автоматичний 2-полюсний Hager 6kA MC232A C 32A,вимикач автоматичний 2 полюсний hager 6ka mc232a c 32a,1,1,2
790,Лічильник однофазний E.Next e.control.w04m 5(45)А електронний клас 1.0 (некомерційний облік) i0310031m,лічильник однофазний e next e control w04m 5 45 а електронний клас 1 0 некомерційний облік i0310031m,8,20,38
791,Реле проміжне 230V AC 5А E.Next e.control.p536 i.my3.230ac,реле проміжне 230v ac 5а e next e control p536 i my3 230ac,8,19,37
792,Лампа люмінесцентна Osram G13 для м‘ясних прилавків 36W/76 L,лампа люмінесцентна osram g13 для м ясних прилавків 36w 76 l,2,3,8
793,ВВГнг кабель вітчизняний 2* 10,ввгнг кабель вітчизняний 2 10,1,2,3
794,Лампа люмінесцентна Electrum G5 у/ф 6W A-TF-0402,лампа люмінесцентна electrum g5 у ф 6w a tf 0402,10,22,42
795,Перемикач I-0-II 230V 2-полюсний Hager SFT232 32А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft232 32а вихід зверху,10,25,48
796,ВВГнг кабель вітчизняний 2* 10,ввгнг кабель вітчизняний 2 10,1,2,3
797,Світильник вбудований круглий LED 171*13.5mm 720Lm IP20 Feron AL510 12W/4000K білий 5372,світильник вбудований круглий led 171 13 5mm 720lm ip20 feron al510 12w 4000k білий 5372,1,1,1
798,"ШВВП провід вітчизняний 2*0,5",шввп провід вітчизняний 2 0 5,1,2,3
799,Колодка клемна з кришкою E.Next e.tc.protect.15.12 p056005 15А 12 полюсів,колодка клемна з кришкою e next e tc protect 15 12 p056005 15а 12 полюсів,3,7,17
800,"Клема з важелем Wago 222-412 для 2 гнучких проводів 0,08-4 кв.мм сіра",клема з важелем wago 222 412 для 2 гнучких проводів 0 08 4 кв мм сіра,2,3,6
801,"Арматура світлосигнальна з індикатором напруги та струму e.ad22.va Ø22мм, 50-500В, 0-100 А E.Next",арматура світлосигнальна з індикатором напруги та струму e ad22 va ø22мм 50 500в 0 100 а e next,3,8,18
802,Корпус зовнішній димчасті дверки Golf IP40/II Hager VS112TD 12 модулів ніша 252*282*99,корпус зовнішній димчасті дверки golf ip40 ii hager vs112td 12 модулів ніша 252 282 99,6,13,30
803,"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",лампа галогенова капсульна 12v philips gy6 35 20w 13104 caps line uv,10,22,44
804,Короб Елекор 40*16 дуб CKK10-040-016-1-K24/30,короб елекор 40 16 дуб ckk10 040 016 1 k24 30,5,11,24
805,Тумблер 1322 3-положення х 6-контактів АСКО-УКРЕМ A0140060006,тумблер 1322 3 положення х 6 контактів аско укрем a0140060006,3,7,17
806,Тумблер MTS-101 ON-OFF 2-положення х 2-контакти АСКО-УКРЕМ A0140060010,тумблер mts 101 on off 2 положення х 2 контакти аско укрем a0140060010,5,11,23
807,Тумблер 1021 2-положення х 2-контакти АСКО-УКРЕМ A0140060001,тумблер 1021 2 положення х 2 контакти аско укрем a0140060001,5,11,23
808,Лампа натрієва Delux Е40 400W Sodium-T 10007863,лампа натрієва delux е40 400w sodium t 10007863,10,22,41
809,Лампа натрієва Delux Е40 400W Sodium-T 10007863,лампа натрієва delux е40 400w sodium t 10007863,10,22,41
810,Лампа натрієва Delux Е40 400W Sodium-T 10007863,лампа натрієва delux е40 400w sodium t 10007863,10,22,41
811,Реле часу електронне двоканальне E.Next e.control.t09  i0310012,реле часу електронне двоканальне e next e control t09 i0310012,8,20,38
812,Кріплення для труб 20мм/пакунок 100шт,кріплення для труб 20мм пакунок 100шт,3,5,12
813,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
814,"Корпус E.Next e.mbox.stand.w.48.z металевий, під 48 мод., що вбудовується, з замком  s0100125",корпус e next e mbox stand w 48 z металевий під 48 мод що вбудовується з замком s0100125,1,2,4
815,Обмежувач УЕК на DIN-рейку YXD10,обмежувач уек на din рейку yxd10,3,4,11
816,Перемикач введення резерву I-0-II 400V 3-полюсний Hager SFT340 40А вихід зверху,перемикач введення резерву i 0 ii 400v 3 полюсний hager sft340 40а вихід зверху,10,25,50
817,Реле імпульсне 230V DIN Hager EPN510 (1нв) 16А,реле імпульсне 230v din hager epn510 1нв 16а,10,25,48
818,"Шина ""N"" DIN в корпусі E.Next p0650005 4*11 груп e.cbs.pro.4.11",шина n din в корпусі e next p0650005 4 11 груп e cbs pro 4 11,3,6,16
819,Корпус вбудований металеві дверки Volta IP30/II Hager VU48UA 48(56) модулів,корпус вбудований металеві дверки volta ip30 ii hager vu48ua 48 56 модулів,2,3,7
820,Тримач з клемами 21*N+20*PE/5*N+6*PE Hager VZ464 до щитів Volta,тримач з клемами 21 n 20 pe 5 n 6 pe hager vz464 до щитів volta,2,3,7
821,Датчик руху мікрохвильовий ДД-МВ401 500Вт 360град 8м IP20 білий УЕК  LDD11-401MB-500-001,датчик руху мікрохвильовий дд мв401 500вт 360град 8м ip20 білий уек ldd11 401mb 500 001,1,2,3
822,Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft240 40а вихід зверху,10,25,48
823,Контактор 220V/АС3 ІЕК КМИ-22510 25А 1нв KKM21-025-230-10,контактор 220v ас3 іек кми 22510 25а 1нв kkm21 025 230 10,10,25,48
824,Перемикач клавішний KCD1-5-101 Grey/Grey круглий сірий АСКО-УКРЕМ A0140040069,перемикач клавішний kcd1 5 101 grey grey круглий сірий аско укрем a0140040069,1,2,3
825,"Спіральна обв'язка E.Next e.spiral.stand.3.black, 1,5-10 мм, 10м, чорна s2038010",спіральна обв язка e next e spiral stand 3 black 1 5 10 мм 10м чорна s2038010,3,6,16
826,"Спіральна обв'язка E.Next e.spiral.stand.8.black, 6-60 мм, 10м, чорна s2038012",спіральна обв язка e next e spiral stand 8 black 6 60 мм 10м чорна s2038012,3,6,16
827,Клемник ввідно-розгалуджувальний 4 полюсний (35кв.мм) Hager K65A до щитів Univers 100А на полюс,клемник ввідно розгалуджувальний 4 полюсний 35кв мм hager k65a до щитів univers 100а на полюс,1,2,3
828,Наконечник УЕК мідний луджений 10/ 6 JG-10 UNP40-010-06-06,наконечник уек мідний луджений 10 6 jg 10 unp40 010 06 06,1,2,3
829,Гільза мідна луджена 16,гільза мідна луджена 16,2,3,8
830,Наконечник УЕК мідний луджений 16/ 8 JG-16 UNP40-016-06-08,наконечник уек мідний луджений 16 8 jg 16 unp40 016 06 08,1,2,3
831,Гільза мідна луджена 10,гільза мідна луджена 10,2,3,8
832,Кабельний ввід E.Next e.pg.protect.stand.7 з опліткою чорний діаметр провідника 3-6.5 мм s051001,кабельний ввід e next e pg protect stand 7 з опліткою чорний діаметр провідника 3 6 5 мм s051001,1,2,4
833,Контактор 380V/АС3 ІЕК КМИ-10910 9А 1но KKM11-009-400-10,контактор 380v ас3 іек кми 10910 9а 1но kkm11 009 400 10,10,25,48
834,Рамка 2-а вертикальна Asfora EPH5810262 сталь,рамка 2 а вертикальна asfora eph5810262 сталь,3,8,19
835,Колодка клемна для голих ліній передач Білмакс КП 95К 1-п з кришкою 1*95/4*16,колодка клемна для голих ліній передач білмакс кп 95к 1 п з кришкою 1 95 4 16,2,3,8
836,"Пластикова рамка E.Next  e.f.es.rxj.01, для намотування кабелю s042201",пластикова рамка e next e f es rxj 01 для намотування кабелю s042201,3,4,11
837,"Датчик руху інфрачервоний стельовий, що вбудовується E.Next e.sensor.pir.42.white(білий), 360°, IP20  s061011",датчик руху інфрачервоний стельовий що вбудовується e next e sensor pir 42 white білий 360 ip20 s061011,8,18,36
838,Лампа LED 230V Feron 25000h G13 9W/4000 T8 LB-246 6230,лампа led 230v feron 25000h g13 9w 4000 t8 lb 246 6230,9,21,39
839,Світильник LED IP65 без ламп Евросвітло 656*115*90 EVRO-LED-SH-2*10 2*9W 39733 SLIM,світильник led ip65 без ламп евросвітло 656 115 90 evro led sh 2 10 2 9w 39733 slim,9,21,40
840,Блок PE-клем Hager KN22E,блок pe клем hager kn22e,3,5,12
841,Блок PE-клем Hager KN18E,блок pe клем hager kn18e,3,5,12
842,Вимикач автоматичний 1-полюсний Hager 6kA MB110A B 10A,вимикач автоматичний 1 полюсний hager 6ka mb110a b 10a,1,1,2
843,Вимикач автоматичний 1-полюсний Hager 6kA MC110A C 10A,вимикач автоматичний 1 полюсний hager 6ka mc110a c 10a,1,1,2
844,Вимикач автоматичний 1-полюсний Hager 6kA MC116A C 16A,вимикач автоматичний 1 полюсний hager 6ka mc116a c 16a,1,1,2
845,Корпус зовнішній прозора дверка Vector IP65/II Hager VE110D 237*210*114 10 модулів,корпус зовнішній прозора дверка vector ip65 ii hager ve110d 237 210 114 10 модулів,4,9,21
846,"Диференційне реле 2-полюсне Hager CD225J А-25/0,03А",диференційне реле 2 полюсне hager cd225j а 25 0 03а,3,4,9
847,Вимикач автоматичний 4-полюсний Hager 6kA MC420A С 20A,вимикач автоматичний 4 полюсний hager 6ka mc420a с 20a,1,1,2
848,Вита пара c.5e кабель ЗЗКМ UTP 4PR 24AWG,вита пара c 5e кабель ззкм utp 4pr 24awg,3,5,12
849,Лічильник 1 фазний 5- 60А електронний активної енергії НІК 2102-02 1кл. 220В M1,лічильник 1 фазний 5 60а електронний активної енергії нік 2102 02 1кл 220в m1,1,2,5
850,Перехідник E.Next e.lamp adapter.GU10/Е14.white з патрону GU10 на Е14 пластиковий s9100043,перехідник e next e lamp adapter gu10 е14 white з патрону gu10 на е14 пластиковий s9100043,7,15,33
851,"Датчик руху інфрачервоний E.Next e.sensor.pir.38.white(білий), 180°, IP20  s061006",датчик руху інфрачервоний e next e sensor pir 38 white білий 180 ip20 s061006,8,18,36
852,Лампа рефлекторна Іскра Е14 R50 40W,лампа рефлекторна іскра е14 r50 40w,10,22,41
853,Розетка із заземлюючим контактом з кришкою 2-а ETI IP54 RHE-2s-KR 4668052 коричнева,розетка із заземлюючим контактом з кришкою 2 а eti ip54 rhe 2s kr 4668052 коричнева,4,9,21
854,Розетка із заземлюючим контактом з кришкою 2-а ETI IP54 RHE-2s-KR 4668052 коричнева,розетка із заземлюючим контактом з кришкою 2 а eti ip54 rhe 2s kr 4668052 коричнева,4,9,21
855,Розетка із заземлюючим контактом з кришкою 3-а ETI IP44 RHE-3s-KR 4668054 коричнева,розетка із заземлюючим контактом з кришкою 3 а eti ip44 rhe 3s kr 4668054 коричнева,4,9,21
856,Запобіжник ПН-2 250А,запобіжник пн 2 250а,2,3,8
857,Домовент вентилятор без решітки 100 ВКО,домовент вентилятор без решітки 100 вко,2,3,8
858,"Трубка термоусаджувальна 3,0/1,5",трубка термоусаджувальна 3 0 1 5,3,6,15
859,"Трубка термоусаджувальна 5,0/2,5",трубка термоусаджувальна 5 0 2 5,3,6,15
860,"F конектор для кабелю RG-6, накрутний FF-1 D=6.6мм",f конектор для кабелю rg 6 накрутний ff 1 d 6 6мм,3,5,12
861,Спліттер (розгалужувач) DATIX S-4 DS,спліттер розгалужувач datix s 4 ds,3,5,14
862,Перехідник (з'єднувач) F гніздо / F гніздо FF-13,перехідник з єднувач f гніздо f гніздо ff 13,2,3,8
863,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
864,Батарейка cольова Videx 6F22/9V крона,батарейка cольова videx 6f22 9v крона,10,25,49
865,Батарейка cольова Videx 6F22/9V крона,батарейка cольова videx 6f22 9v крона,10,25,49
866,"Пластикова рамка E.Next  e.f.es.rxj.01, для намотування кабелю s042201",пластикова рамка e next e f es rxj 01 для намотування кабелю s042201,3,4,11
867,"Диференційне реле 2-полюсне Hager CC216J А-16/0,01А",диференційне реле 2 полюсне hager cc216j а 16 0 01а,3,4,9
868,Реле проміжне 230V AC 5А E.Next e.control.p536 i.my3.230ac,реле проміжне 230v ac 5а e next e control p536 i my3 230ac,8,19,37
869,Лампа галогенова лінійна R7s Feron 150W/ 78 02003,лампа галогенова лінійна r7s feron 150w 78 02003,10,22,43
870,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 32А MVA20-1-032-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 32а mva20 1 032 c u,1,1,2
871,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 16А MVA20-1-016-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 16а mva20 1 016 c u,1,1,2
872,Перемикач I-0-II 230V 2-полюсний Hager SFT232 32А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft232 32а вихід зверху,10,25,48
873,Перемикач I-0-II 230V 2-полюсний Hager SFT225 25А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft225 25а вихід зверху,10,25,48
874,Лічильник 1 фазний багатотарифний 5- 60А електронний A (активної енергії) NIK 2104 AP2T.1000.C.11,лічильник 1 фазний багатотарифний 5 60а електронний a активної енергії nik 2104 ap2t 1000 c 11,1,2,5
875,"Піктограма ""ВИХІД"" для аварійних світильників 500 E.Next e.pict.exit.310.100  l0660074",піктограма вихід для аварійних світильників 500 e next e pict exit 310 100 l0660074,1,2,5
876,Механізм вимикача 2-клавішного 11000602,механізм вимикача 2 клавішного 11000602,3,7,17
877,Рамка 1-а Регіна 13012118 слонова кістка,рамка 1 а регіна 13012118 слонова кістка,3,8,19
878,"Диференційне реле 2-полюсне Hager CF263J A-63/0,3А",диференційне реле 2 полюсне hager cf263j a 63 0 3а,3,4,9
879,Вимикач автоматичний 1-полюсний ETI 6kA Etimat 6 AC C 16А 2141516,вимикач автоматичний 1 полюсний eti 6ka etimat 6 ac c 16а 2141516,1,2,5
880,Вимикач автоматичний 1-полюсний ETI 6kA Etimat 6 AC C 25А 2141518,вимикач автоматичний 1 полюсний eti 6ka etimat 6 ac c 25а 2141518,1,2,5
881,Вимикач автоматичний 1-полюсний ETI 6kA Etimat 6 AC C 20А 2141517,вимикач автоматичний 1 полюсний eti 6ka etimat 6 ac c 20а 2141517,1,2,5
882,"Вимикач автоматичнийдля захисту двигуна 3-полюсний ETI MS25-10 (6,3-10) 4600100",вимикач автоматичнийдля захисту двигуна 3 полюсний eti ms25 10 6 3 10 4600100,1,2,5
883,"Вимикач автоматичнийдля захисту двигуна 3-полюсний ETI MS25- 6,3 (4,0-6,3) 4600090",вимикач автоматичнийдля захисту двигуна 3 полюсний eti ms25 6 3 4 0 6 3 4600090,1,2,5
884,Індикатор модульний LED УЕК ЛС-47М зелений MLS20-230-K06,індикатор модульний led уек лс 47м зелений mls20 230 k06,1,1,1
885,"Кнопковий пост E.Next e.cs.stand.xal.d.174, стоп, кнопка-грибок, поворотне повернення s006016",кнопковий пост e next e cs stand xal d 174 стоп кнопка грибок поворотне повернення s006016,1,2,4
886,"Клема з’єднувальна з нажимним важелем Wago 221-613 для 3 гнучких проводів 0,5-6 кв.мм прозора",клема з єднувальна з нажимним важелем wago 221 613 для 3 гнучких проводів 0 5 6 кв мм прозора,2,3,6
887,"ПВС кабель вітчизняний 2* 2,5",пвс кабель вітчизняний 2 2 5,1,2,3
888,Вимикач автоматичний 3-полюсний Hager 6kA MC332A C 32A,вимикач автоматичний 3 полюсний hager 6ka mc332a c 32a,1,1,2
889,Вилка із заземлюючим контактом кутова каучукова з вушком IP44 Lezard 16А 106-0400-0109 чорна,вилка із заземлюючим контактом кутова каучукова з вушком ip44 lezard 16а 106 0400 0109 чорна,3,8,20
890,Колодка без заземлення 3 гнізда Makel MGP121,колодка без заземлення 3 гнізда makel mgp121,3,5,13
891,"Батарейка сольова Videx 4шт. R06P/AA 1,5V",батарейка сольова videx 4шт r06p aa 1 5v,10,25,49
892,"Батарейка сольова Videx 4шт. R03P/AAA 1,5V",батарейка сольова videx 4шт r03p aaa 1 5v,10,25,49
893,Адаптер Legrand 50385 американський стандарт,адаптер legrand 50385 американський стандарт,3,8,18
894,Світильник світлодіодний накладний E.Next e.LED.2101.36.6500 36Вт 6500К 1200мм IP20 l0810005,світильник світлодіодний накладний e next e led 2101 36 6500 36вт 6500к 1200мм ip20 l0810005,1,1,1
895,Трубка ПВХ гофрована з протяжкою 320N УФ-стійка Kopos D 16/1416E_F50D чорна,трубка пвх гофрована з протяжкою 320n уф стійка kopos d 16 1416e_f50d чорна,5,11,24
896,Вимикач 1-клавішний ETI IP54/IP44 VHE-1 білий 4668000,вимикач 1 клавішний eti ip54 ip44 vhe 1 білий 4668000,1,2,3
897,ПВ-1 провід перетином 10,пв 1 провід перетином 10,2,3,8
898,Розетка із заземлюючим контактом з кришкою 2-а ETI IP54 RHE-2s 4668019 біла,розетка із заземлюючим контактом з кришкою 2 а eti ip54 rhe 2s 4668019 біла,4,9,21
899,Розетка із заземлюючим контактом з кришкою ETI IP54 RHE-1s 4668015 біла,розетка із заземлюючим контактом з кришкою eti ip54 rhe 1s 4668015 біла,4,9,21
900,"Диференційне реле (ПЗВ) ABB F202 AC-40/0,03 (2CSF202001R1400)",диференційне реле пзв abb f202 ac 40 0 03 2csf202001r1400,6,14,32
901,Коробка розподільна металева Білмакс КР-10 100*100*70,коробка розподільна металева білмакс кр 10 100 100 70,2,3,8
902,Блок N-клем Hager KN10N,блок n клем hager kn10n,3,5,12
903,Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,тримач клем quickconnect hager vz707n до щитів golf vf vs 12 модулів,6,13,30
904,"Лампа LED 230V MR16 ELamp Еко D GU10 5,0W/4000 LED-SMD-05104(D)",лампа led 230v mr16 elamp еко d gu10 5 0w 4000 led smd 05104 d,9,21,39
905,"Лампа LED 230V MR16 ELamp Еко D GU10 5,0W/4000 LED-SMD-05104(D)",лампа led 230v mr16 elamp еко d gu10 5 0w 4000 led smd 05104 d,9,21,39
906,Ковпачок захисний силіконовий XB2 АСКО-УКРЕМ A0140010074,ковпачок захисний силіконовий xb2 аско укрем a0140010074,5,11,26
907,"Лампа натрієва високого тиску E.Next e.lamp.hps.e27.100, E27, 100 Вт  l0450002",лампа натрієва високого тиску e next e lamp hps e27 100 e27 100 вт l0450002,7,15,33
908,Світильник з решіткою E.Next НСП 21У 100 Вт IP54,світильник з решіткою e next нсп 21у 100 вт ip54,2,3,8
909,Корпус щита пластиковий зовнішній IP65 ETI ECH 4G 1101060 прозора вертикальна дверка,корпус щита пластиковий зовнішній ip65 eti ech 4g 1101060 прозора вертикальна дверка,4,9,21
910,Реле проміжне 12V AC 3А E.Next e.control.p342 i.my4.12ac,реле проміжне 12v ac 3а e next e control p342 i my4 12ac,10,23,45
911,Патрон люстровий з гайкою E.Next Е14 s9100006 білий,патрон люстровий з гайкою e next е14 s9100006 білий,1,2,5
912,Кріплення для труб APRO 25мм / уп.50 шт,кріплення для труб apro 25мм уп 50 шт,3,5,12
913,Ящик розподільний для 3-фазних лічильників електроенергії NIK DOT.3 IP54,ящик розподільний для 3 фазних лічильників електроенергії nik dot 3 ip54,1,2,3
914,Лампа галогенова лінійна R7s Feron 150W/ 78 02003,лампа галогенова лінійна r7s feron 150w 78 02003,10,22,43
915,Реле проміжне 12V DC 10А E.Next e.control.p1041 i.ly4.12dc,реле проміжне 12v dc 10а e next e control p1041 i ly4 12dc,10,23,45
916,Трійник із заземлюючим контактом прямокутний Lezard 715-0800-608,трійник із заземлюючим контактом прямокутний lezard 715 0800 608,3,8,20
917,"Вимикач автоматичний 1-полюсний Easy 9 Schneider 4,5kA EZ9F34116 C 16А",вимикач автоматичний 1 полюсний easy 9 schneider 4 5ka ez9f34116 c 16а,1,2,3
918,"Диференційний автомат 2-полюсний Easy 9 Schneider 4,5kA AC EZ9D34620 C 20/0,03А",диференційний автомат 2 полюсний easy 9 schneider 4 5ka ac ez9d34620 c 20 0 03а,1,2,3
919,Багатофункціональне реле ZUBR MF 63,багатофункціональне реле zubr mf 63,3,4,10
920,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
921,Лампа галогенова лінійна R7s Feron 150W/ 78 02003,лампа галогенова лінійна r7s feron 150w 78 02003,10,22,43
922,Лампа компактна Osram G23 11W/840 DULUX S,лампа компактна osram g23 11w 840 dulux s,10,22,42
923,Вилка із заземлюючим контактом кутова 16A 12310203 Makel 10027,вилка із заземлюючим контактом кутова 16a 12310203 makel 10027,3,7,17
924,Вилка силова 2К+З Legrand 32А 55802,вилка силова 2к з legrand 32а 55802,3,8,20
925,Світлодіодна лампа Electrum PL 9W LW-14 G24d2 4000К (A-LW-0476),світлодіодна лампа electrum pl 9w lw 14 g24d2 4000к a lw 0476,10,22,42
926,Блок PE-клем Hager KN26E,блок pe клем hager kn26e,3,5,12
927,Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,тримач клем quickconnect hager vz707n до щитів golf vf vs 12 модулів,6,13,30
928,Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,лампа для холодильника рп іскра е14 230b 15w s25 прозора,10,22,41
929,Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft240 40а вихід зверху,10,25,48
930,Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft240 40а вихід зверху,10,25,48
931,Вилка кабельна 400V IP44 Sez 5 полюсів 32А IVN3253,вилка кабельна 400v ip44 sez 5 полюсів 32а ivn3253,10,25,50
932,Тримач ламп Stucchi 2G7 451,тримач ламп stucchi 2g7 451,3,5,14
933,Лампа компактна Osram G23 9W/840 DULUX S,лампа компактна osram g23 9w 840 dulux s,10,22,42
934,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
935,Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,лампа комактна люмінісцентна 2g7 11w 840 dulux s е osram 4050300020181,10,22,42
936,Вимикач автоматичний 2-полюсний Hager 6kA MC232A C 32A,вимикач автоматичний 2 полюсний hager 6ka mc232a c 32a,1,1,2
937,"Перемикач з ключем E.Next e.mb.bg45.lrr на 2 фіксованих положення ""1-0"", 1NO+1NC (ключ виймається ліворуч і праворуч)",перемикач з ключем e next e mb bg45 lrr на 2 фіксованих положення 1 0 1no 1nc ключ виймається ліворуч і праворуч,1,2,4
938,Контакт замикаючий фронтальний 1NO Eaton M22-K10 216376,контакт замикаючий фронтальний 1no eaton m22 k10 216376,1,2,5
939,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 1,0",olflex heat 180 sif провід силіконовий термостійкий 1 0,1,2,5
940,"Арматура світлосигнальна з індикатором напруги та струму e.ad22.va Ø22мм, 50-500В, 0-100 А E.Next",арматура світлосигнальна з індикатором напруги та струму e ad22 va ø22мм 50 500в 0 100 а e next,3,8,18
941,"Самовулканізуюча ізолента 0,8мм*25мм*5м E.Next e.tape.sf.5 p054001",самовулканізуюча ізолента 0 8мм 25мм 5м e next e tape sf 5 p054001,3,7,17
942,"Трансформатор на DIN-рейку, 230В/24 В (1,04А), 230В/12 В (2,08А) Hager ST312",трансформатор на din рейку 230в 24 в 1 04а 230в 12 в 2 08а hager st312,5,11,23
943,Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,лампа комактна люмінісцентна 2g7 11w 840 dulux s е osram 4050300020181,10,22,42
944,Вилка силова 2К+З Lezard 32А 715-1302-621,вилка силова 2к з lezard 32а 715 1302 621,3,8,20
945,Вставка 1-а Lezard Mira 801-0115-701 сіра,вставка 1 а lezard mira 801 0115 701 сіра,3,8,20
946,Перемикач 3-полюсний 1-0-2 УЕК ALCLR-22 1з+1в BSW10-ALCLR-3-K02-U,перемикач 3 полюсний 1 0 2 уек alclr 22 1з 1в bsw10 alclr 3 k02 u,5,11,23
947,"Диференційне реле 2-полюсне УЕК тип AC 4,5kA ВД 1-63 25/0,03А MDV10-2-025-030",диференційне реле 2 полюсне уек тип ac 4 5ka вд 1 63 25 0 03а mdv10 2 025 030,3,4,9
948,"Пост кнопковий ""Стоп"" (кнопка-грибок) E.Next e.cs.stand.xal.d.164 s006015",пост кнопковий стоп кнопка грибок e next e cs stand xal d 164 s006015,1,2,4
949,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
950,Затискач анкерний натяжний 2*(16-25) вітчизняний ЗА 1.1,затискач анкерний натяжний 2 16 25 вітчизняний за 1 1,1,2,3
951,Патрон пластиковий підвісний E.Next e.lamp socket pendant.E27.pl.white Е27 з кабелем 15см та клемною колодкою білий,патрон пластиковий підвісний e next e lamp socket pendant e27 pl white е27 з кабелем 15см та клемною колодкою білий,7,15,33
952,Реле напруги 1P+N DIN 230V Schneider R9A12663 63A,реле напруги 1p n din 230v schneider r9a12663 63a,10,25,48
